Model Order,Train MSE,Validation MSE
1.000000000000000000e+00,5.520616074057205225e+00,4.790406923749420010e+00
2.000000000000000000e+00,2.800985223212982156e+00,1.857059670048257782e+00
3.000000000000000000e+00,2.708848190525780630e+00,2.494877780551972624e+00
4.000000000000000000e+00,7.205294503545811580e-01,1.161344220859536369e+00
5.000000000000000000e+00,4.863208792967995686e-01,3.305202469261548925e-01
6.000000000000000000e+00,2.523754837659311079e-01,4.268853241227319462e-01
7.000000000000000000e+00,1.694940104948053639e-01,1.278538757387791547e-01
8.000000000000000000e+00,1.682206529662994554e-01,1.320648167386824501e-01
9.000000000000000000e+00,1.606085126185535228e-01,1.773882548445796792e-01
1.000000000000000000e+01,1.475702780993761731e-01,1.598617583158709887e-01
1.100000000000000000e+01,1.472356527682701643e-01,1.969684651780453377e-01
1.200000000000000000e+01,1.472304435792416988e-01,2.055057265964372049e-01
1.300000000000000000e+01,1.194184092844332579e-01,2.899685325547976866e+00
1.400000000000000000e+01,1.191677463449431623e-01,2.422046643261686949e+00
1.500000000000000000e+01,1.101225066809644326e-01,1.025693946952013036e+01
